order_id,user_id,order_date,order_amount
1,1,2026-03-12,237.95
2,1,2026-03-24,240.23
3,2,2026-01-08,321.74
4,2,2026-02-14,201.21
5,3,2026-05-18,290.41
6,4,2026-04-18,485.45
7,5,2026-04-03,485.40
8,6,2026-01-17,453.64
9,6,2026-02-12,279.79
10,7,2026-01-18,171.74
11,8,2026-03-19,308.20
12,9,2026-01-26,458.07
13,10,2026-02-04,188.75
14,11,2026-05-24,196.48
15,12,2026-01-25,58.74
16,13,2026-03-01,234.33
17,14,2026-01-30,55.93
18,15,2026-04-20,183.08
19,16,2026-03-22,467.49
20,17,2026-01-22,333.15
21,18,2026-02-11,241.67
22,19,2026-03-07,434.78
23,20,2026-02-01,365.17
24,21,2026-03-19,332.96
25,22,2026-03-13,54.49
26,23,2026-02-23,73.18
27,24,2026-02-16,339.42
28,25,2026-03-16,423.83
29,26,2026-01-14,357.75
30,27,2026-04-08,207.27
31,28,2026-03-29,190.56
32,29,2026-02-17,270.81
33,30,2026-03-26,429.61
34,31,2026-03-08,443.95
35,32,2026-02-18,111.43
36,33,2026-01-25,320.15
37,34,2026-01-14,142.36
38,35,2026-02-23,230.11
39,36,2026-03-31,263.29
40,37,2026-04-18,349.56
41,38,2026-01-08,300.22
42,39,2026-01-21,353.48
43,40,2026-02-25,482.02
44,41,2026-03-28,255.43
45,42,2026-03-08,290.72
46,43,2026-04-11,466.90
47,44,2026-04-03,248.86
48,45,2026-02-05,160.03
49,46,2026-02-19,376.10
50,47,2026-04-10,381.18
51,48,2026-01-28,318.52
52,49,2026-02-07,249.77
53,50,2026-01-26,431.12
54,1,2026-03-29,154.20
55,2,2026-03-02,89.50
56,6,2026-03-05,112.40
57,8,2026-04-01,420.15
58,10,2026-02-20,310.60
59,12,2026-02-14,145.25
60,15,2026-05-02,99.99
61,17,2026-02-18,215.40
62,19,2026-04-01,180.30
63,20,2026-03-10,250.00
64,24,2026-03-05,125.75
65,26,2026-02-22,410.20
66,29,2026-03-12,95.40
67,33,2026-02-10,185.60
68,34,2026-02-01,220.00
69,35,2026-03-15,310.45
70,39,2026-02-28,142.90
71,40,2026-03-10,385.00
72,44,2026-04-25,115.60
73,45,2026-02-28,210.50
74,48,2026-02-20,135.80
75,50,2026-02-15,295.30
